,keyword_frequency,text_length,multiple_recipients,has_html_content,sentence_count,link_count,special_character_count,is_formatted,has_attachment,text_readability,sentiment_score,readability_score
keyword_frequency,1.0,0.15698329051283896,0.03287979746107147,-0.5589565568382147,0.8110194136587833,0.8837879163470618,0.6644444946618839,,-0.5589565568382149,0.22632752144273605,,0.30671853838829816
text_length,0.15698329051283896,1.0,0.8453861052338668,-0.6000927275494288,0.6991070421473479,0.5021180197482935,0.6558315325147727,,-0.03504191109777673,0.7569169662381489,,-0.6355619773708285
multiple_recipients,0.03287979746107147,0.8453861052338668,1.0,-0.19999999999999998,0.5078333750770081,0.3162277660168379,0.6123724356957946,,-0.2,0.7927958828528658,,-0.683797054375206
has_html_content,-0.5589565568382147,-0.6000927275494288,-0.19999999999999998,1.0,-0.7980238751210128,-0.6324555320336759,-0.36742346141747667,,-0.19999999999999998,-0.5688532459988197,,0.3383635794869645
sentence_count,0.8110194136587833,0.6991070421473479,0.5078333750770081,-0.7980238751210128,1.0,0.917662935482247,0.8218840678907405,,-0.36273812505500586,0.6403443259042588,,-0.19484436110660738
link_count,0.8837879163470618,0.5021180197482935,0.3162277660168379,-0.6324555320336759,0.917662935482247,1.0,0.8714212528966687,,-0.6324555320336759,0.31174481915920493,,0.17241062341905075
special_character_count,0.6644444946618839,0.6558315325147727,0.6123724356957946,-0.36742346141747667,0.8218840678907405,0.8714212528966687,1.0,,-0.7348469228349533,0.3871283542200617,,0.045213826051808785
is_formatted,,,,,,,,,,,,
has_attachment,-0.5589565568382149,-0.03504191109777673,-0.2,-0.19999999999999998,-0.36273812505500586,-0.6324555320336759,-0.7348469228349533,,1.0,0.1745237750786658,,-0.5564476846124714
text_readability,0.22632752144273605,0.7569169662381489,0.7927958828528658,-0.5688532459988197,0.6403443259042588,0.31174481915920493,0.3871283542200617,,0.1745237750786658,1.0,,-0.8470593309056358
sentiment_score,,,,,,,,,,,,
readability_score,0.30671853838829816,-0.6355619773708285,-0.683797054375206,0.3383635794869645,-0.19484436110660738,0.17241062341905075,0.045213826051808785,,-0.5564476846124714,-0.8470593309056358,,1.0
